DATE,NDSTHPI
1975-01-01,67.54
1975-04-01,59.66
1975-07-01,65.9
1975-10-01,62.91
1976-01-01,74.69
1976-04-01,72.35
1976-07-01,71.07
1976-10-01,72.47
1977-01-01,81.72
1977-04-01,85.05
1977-07-01,79.46
1977-10-01,77.7
1978-01-01,87.83
1978-04-01,83.4
1978-07-01,89.15
1978-10-01,85.41
1979-01-01,99.54
1979-04-01,98.8
1979-07-01,97.3
1979-10-01,99.29
1980-01-01,100.00
1980-04-01,106.09
1980-07-01,99.28
1980-10-01,95.46
1981-01-01,104.99
1981-04-01,97.96
1981-07-01,116.27
1981-10-01,110.09
1982-01-01,99.1
1982-04-01,83.34
1982-07-01,72.61
1982-10-01,99.09
1983-01-01,98.92
1983-04-01,106.56
1983-07-01,89.19
1983-10-01,106.93
1984-01-01,118.08
1984-04-01,112.11
1984-07-01,114.61
1984-10-01,109.22
1985-01-01,109.21
1985-04-01,109.7
1985-07-01,113.64
1985-10-01,108.52
1986-01-01,112.68
1986-04-01,111.81
1986-07-01,111.32
1986-10-01,109.19
1987-01-01,112.85
1987-04-01,110.33
1987-07-01,110.43
1987-10-01,110.06
1988-01-01,107.28
1988-04-01,109.0
1988-07-01,109.59
1988-10-01,104.9
1989-01-01,108.61
1989-04-01,107.95
1989-07-01,110.54
1989-10-01,111.28
1990-01-01,110.8
1990-04-01,110.5
1990-07-01,112.12
1990-10-01,110.83
1991-01-01,112.84
1991-04-01,113.97
1991-07-01,114.28
1991-10-01,115.33
1992-01-01,117.65
1992-04-01,117.86
1992-07-01,119.18
1992-10-01,120.26
1993-01-01,120.99
1993-04-01,123.83
1993-07-01,126.15
1993-10-01,126.91
1994-01-01,128.51
1994-04-01,132.2
1994-07-01,133.86
1994-10-01,134.13
1995-01-01,136.63
1995-04-01,137.88
1995-07-01,139.57
1995-10-01,140.52
1996-01-01,143.87
1996-04-01,142.53
1996-07-01,144.85
1996-10-01,144.82
1997-01-01,145.44
1997-04-01,145.86
1997-07-01,148.29
1997-10-01,150.46
1998-01-01,152.94
1998-04-01,154.11
1998-07-01,156.13
1998-10-01,156.87
1999-01-01,157.14
1999-04-01,157.74
1999-07-01,158.15
1999-10-01,156.89
2000-01-01,158.51
2000-04-01,159.69
2000-07-01,161.41
2000-10-01,162.63
2001-01-01,166.79
2001-04-01,167.93
2001-07-01,169.31
2001-10-01,170.57
2002-01-01,172.62
2002-04-01,174.12
2002-07-01,177.98
2002-10-01,179.89
2003-01-01,181.1
2003-04-01,183.88
2003-07-01,186.42
2003-10-01,189.94
2004-01-01,192.02
2004-04-01,195.05
2004-07-01,201.06
2004-10-01,205.1
2005-01-01,206.42
2005-04-01,212.83
2005-07-01,217.77
2005-10-01,220.51
2006-01-01,221.37
2006-04-01,228.0
2006-07-01,230.7
2006-10-01,231.29
2007-01-01,236.05
2007-04-01,238.68
2007-07-01,240.37
2007-10-01,241.05
2008-01-01,245.29
2008-04-01,246.35
2008-07-01,246.43
2008-10-01,248.48
2009-01-01,250.14
2009-04-01,249.89
2009-07-01,249.62
2009-10-01,251.72
2010-01-01,251.64
2010-04-01,251.55
2010-07-01,253.75
2010-10-01,256.56
2011-01-01,258.02
2011-04-01,261.64
2011-07-01,264.46
2011-10-01,266.95
2012-01-01,268.96
2012-04-01,276.41
2012-07-01,281.05
2012-10-01,288.45
2013-01-01,293.18
2013-04-01,299.83
2013-07-01,310.83
2013-10-01,315.28
2014-01-01,318.24
2014-04-01,322.65
2014-07-01,330.57
2014-10-01,335.47
2015-01-01,338.91
2015-04-01,341.54
2015-07-01,348.13
2015-10-01,348.74
2016-01-01,349.15
2016-04-01,351.37
2016-07-01,355.07
2016-10-01,354.56
2017-01-01,356.3
2017-04-01,355.42
2017-07-01,359.58
2017-10-01,357.88
2018-01-01,359.2
2018-04-01,361.12
2018-07-01,360.89
2018-10-01,362.69
2019-01-01,364.93
2019-04-01,369.95
2019-07-01,372.94
2019-10-01,374.52
2020-01-01,375.94
2020-04-01,375.23
2020-07-01,380.87
2020-10-01,385.64
2021-01-01,386.01
2021-04-01,396.56
2021-07-01,411.45
2021-10-01,420.0
2022-01-01,425.35
2022-04-01,447.48
2022-07-01,455.17
2022-10-01,457.6
2023-01-01,455.68
2023-04-01,467.53
2023-07-01,476.7
2023-10-01,476.43
