DATE,NYSTHPI
1975-01-01,78.42
1975-04-01,75.95
1975-07-01,77.73
1975-10-01,79.64
1976-01-01,73.04
1976-04-01,74.86
1976-07-01,75.63
1976-10-01,73.94
1977-01-01,77.71
1977-04-01,83.01
1977-07-01,82.56
1977-10-01,84.72
1978-01-01,83.43
1978-04-01,87.57
1978-07-01,84.07
1978-10-01,83.99
1979-01-01,96.76
1979-04-01,95.93
1979-07-01,94.82
1979-10-01,98.22
1980-01-01,100.00
1980-04-01,107.2
1980-07-01,115.03
1980-10-01,111.33
1981-01-01,112.21
1981-04-01,108.38
1981-07-01,115.73
1981-10-01,114.42
1982-01-01,123.38
1982-04-01,125.29
1982-07-01,122.42
1982-10-01,126.47
1983-01-01,128.74
1983-04-01,132.8
1983-07-01,138.27
1983-10-01,147.21
1984-01-01,150.69
1984-04-01,156.68
1984-07-01,162.24
1984-10-01,169.2
1985-01-01,176.25
1985-04-01,184.59
1985-07-01,191.0
1985-10-01,198.52
1986-01-01,206.38
1986-04-01,217.2
1986-07-01,227.07
1986-10-01,237.27
1987-01-01,246.71
1987-04-01,255.34
1987-07-01,267.01
1987-10-01,270.94
1988-01-01,277.23
1988-04-01,280.79
1988-07-01,282.84
1988-10-01,283.71
1989-01-01,283.47
1989-04-01,282.98
1989-07-01,285.99
1989-10-01,286.64
1990-01-01,286.6
1990-04-01,283.38
1990-07-01,281.75
1990-10-01,278.8
1991-01-01,278.39
1991-04-01,280.2
1991-07-01,279.33
1991-10-01,281.61
1992-01-01,286.89
1992-04-01,282.92
1992-07-01,286.04
1992-10-01,288.09
1993-01-01,282.74
1993-04-01,289.44
1993-07-01,288.52
1993-10-01,289.66
1994-01-01,286.3
1994-04-01,282.46
1994-07-01,280.98
1994-10-01,275.74
1995-01-01,274.4
1995-04-01,279.18
1995-07-01,283.81
1995-10-01,282.92
1996-01-01,287.69
1996-04-01,285.99
1996-07-01,283.93
1996-10-01,283.62
1997-01-01,283.73
1997-04-01,287.09
1997-07-01,289.58
1997-10-01,292.47
1998-01-01,299.04
1998-04-01,301.28
1998-07-01,303.63
1998-10-01,307.71
1999-01-01,310.03
1999-04-01,315.77
1999-07-01,324.71
1999-10-01,330.81
2000-01-01,335.59
2000-04-01,345.63
2000-07-01,355.74
2000-10-01,361.17
2001-01-01,369.32
2001-04-01,377.52
2001-07-01,387.88
2001-10-01,394.73
2002-01-01,404.38
2002-04-01,417.18
2002-07-01,429.81
2002-10-01,439.09
2003-01-01,448.92
2003-04-01,459.81
2003-07-01,466.88
2003-10-01,488.75
2004-01-01,499.07
2004-04-01,513.7
2004-07-01,538.68
2004-10-01,552.29
2005-01-01,566.95
2005-04-01,585.72
2005-07-01,604.92
2005-10-01,618.6
2006-01-01,629.58
2006-04-01,631.52
2006-07-01,630.8
2006-10-01,638.92
2007-01-01,642.03
2007-04-01,639.92
2007-07-01,630.71
2007-10-01,632.62
2008-01-01,635.9
2008-04-01,623.94
2008-07-01,607.8
2008-10-01,602.02
2009-01-01,609.16
2009-04-01,596.07
2009-07-01,581.95
2009-10-01,576.78
2010-01-01,573.08
2010-04-01,569.44
2010-07-01,577.5
2010-10-01,577.33
2011-01-01,568.66
2011-04-01,560.6
2011-07-01,558.01
2011-10-01,562.35
2012-01-01,558.11
2012-04-01,552.33
2012-07-01,554.16
2012-10-01,555.98
2013-01-01,556.68
2013-04-01,558.11
2013-07-01,560.89
2013-10-01,559.86
2014-01-01,560.32
2014-04-01,565.87
2014-07-01,574.02
2014-10-01,577.37
2015-01-01,582.83
2015-04-01,587.55
2015-07-01,592.43
2015-10-01,593.27
2016-01-01,596.38
2016-04-01,605.92
2016-07-01,614.28
2016-10-01,619.64
2017-01-01,621.25
2017-04-01,631.15
2017-07-01,643.7
2017-10-01,649.64
2018-01-01,656.7
2018-04-01,664.47
2018-07-01,675.32
2018-10-01,675.67
2019-01-01,681.34
2019-04-01,692.22
2019-07-01,702.43
2019-10-01,709.89
2020-01-01,716.53
2020-04-01,722.45
2020-07-01,734.27
2020-10-01,750.16
2021-01-01,767.94
2021-04-01,795.64
2021-07-01,835.6
2021-10-01,855.12
2022-01-01,876.56
2022-04-01,927.9
2022-07-01,948.46
2022-10-01,944.48
2023-01-01,945.02
2023-04-01,982.22
2023-07-01,1014.9
2023-10-01,1016.82
