Year,State,Sex,Category,Age,Rate 
2001,CA,Female,"Female,White","Female,White,16-24 ",2.4
2001,CA,Female,"Female,White","Female,White,25-44",2.4
2001,CA,Female,"Female,White","Female,White,45-54",2.4
2001,CA,Female,"Female,White","Female,White,55-64",2.4
2001,CA,Female,"Female,White","Female,White,65 over",2.4
2001,CA,Female,"Female,Asian","Female,Asian,16-24",2.4
2001,CA,Female,"Female,Asian","Female,Asian,25-44",2.4
2001,CA,Female,"Female,Asian","Female,Asian,45-54",2.4
2001,CA,Female,"Female,Asian","Female,Asian,55-64",2.4
2001,CA,Female,"Female,Asian","Female,Asian,65 over",2.4
2001,CA,Female,"Female,Black","Female,Black,16-24",2.4
2001,CA,Female,"Female,Black","Female,Black,25-44",2.4
2001,CA,Female,"Female,Black","Female,Black,45-54",2.4
2001,CA,Female,"Female,Black","Female,Black,55-64",2.4
2001,CA,Female,"Female,Black","Female,Black,65 over",2.4
2001,CA,Female,"Female,Latin","Female,Latin,16-24",2.4
2001,CA,Female,"Female,Latin","Female,Latin,25-44",2.4
2001,CA,Female,"Female,Latin","Female,Latin,45-54",2.4
2001,CA,Female,"Female,Latin","Female,Latin,55-64",2.4
2001,CA,Female,"Female,Latin","Female,Latin,65 over",2.4
2001,CA,Male,"Male,White","Male,White,16-24 ",2.4
2001,CA,Male,"Male,White","Male,White,25-44 ",3.3
2001,CA,Male,"Male,White","Male,White,25-54 ",3.3
2001,CA,Male,"Male,White","Male,White,55-64 ",3.3
2001,CA,Male,"Male,White","Male,White,65 over",3.3
2001,CA,Male,"Male,Asiain","Male,Asian,16-24",3.3
2001,CA,Male,"Male,Asiain","Male,Asian,25-44",3.3
2001,CA,Male,"Male,Asiain","Male,Asian,45-54",3.3
2001,CA,Male,"Male,Asiain","Male,Asian,55-64",3.3
2001,CA,Male,"Male,Asiain","Male,Asian,65 over",3.3
2001,CA,Male,"Male,Black","Male,Black,16-24",3.3
2001,CA,Male,"Male,Black","Male,Black,25-44",3.3
2001,CA,Male,"Male,Black","Male,Black,45-54",3.3
2001,CA,Male,"Male,Black","Male,Black,55-64",3.3
2001,CA,Male,"Male,Black","Male,Black,65 over",3.3
2001,CA,Male,"Male,Black","Male,Latin,16-24",3.3
2001,CA,Male,"Male,Latin","Male,Latin,25-44",3.3
2001,CA,Male,"Male,Latin","Male,Latin,45-54",3.3
2001,CA,Male,"Male,Latin","Male,Latin,55-64",3.3
2001,CA,Male,"Male,Latin","Male,Latin,65 over",3.3
2002,CA,Female,"Female,White","Female,White,16-24 ",3.0
2002,CA,Female,"Female,White","Female,White,25-44",4.9
2002,CA,Female,"Female,White","Female,White,45-54",4.2
2002,CA,Female,"Female,White","Female,White,55-64",3.7
2002,CA,Female,"Female,White","Female,White,65 over",2.2
2002,CA,Female,"Female,White","Female,Asian,16-24",2.2
2002,CA,Female,"Female,White","Female,Asian,25-44",1.9
2002,CA,Female,"Female,White","Female,Asian,45-54",4.6
2002,CA,Female,"Female,White","Female,Asian,55-64",3.7
2002,CA,Female,"Female,White","Female,Asian,65 over",4.1
2002,CA,Female,"Female,White","Female,Black,16-24",1.8
2002,CA,Female,"Female,White","Female,Black,25-44",5.0
2002,CA,Female,"Female,White","Female,Black,45-54",4.5
2002,CA,Female,"Female,White","Female,Black,55-64",2.4
